experiment_doc_id,gold_document_id,strategy,dimension,experiment_dimension,gold_label,predicted_label,gold_binary,predicted_binary,error_type,is_error,strategy_label,dimension_label
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S1_full,revenue_concentration,revenue_concentration,ESCALATE,CLEAR,1,0,False Negative,True,S1 – Full text,Revenue concentration
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S1_full,expense_spike,expense_spike,FLAG,FLAG,1,1,True Positive,False,S1 – Full text,Expense spike
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S1_full,audit_opinion,audit_opinion,CLEAR,CLEAR,0,0,True Negative,False,S1 – Full text,Audit opinion
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S1_full,going_concern,going_concern,CLEAR,CLEAR,0,0,True Negative,False,S1 – Full text,Going concern
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S2_sections,revenue_concentration,revenue_concentration,ESCALATE,FLAG,1,1,True Positive,False,S2 – Section filtering,Revenue concentration
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S2_sections,expense_spike,expense_spike,FLAG,FLAG,1,1,True Positive,False,S2 – Section filtering,Expense spike
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S2_sections,audit_opinion,audit_opinion,CLEAR,CLEAR,0,0,True Negative,False,S2 – Section filtering,Audit opinion
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S2_sections,going_concern,going_concern,CLEAR,CLEAR,0,0,True Negative,False,S2 – Section filtering,Going concern
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S3_fields,revenue_concentration,revenue_concentration,ESCALATE,CLEAR,1,0,False Negative,True,S3 – Field extraction,Revenue concentration
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S3_fields,expense_spike,expense_spike,FLAG,CLEAR,1,0,False Negative,True,S3 – Field extraction,Expense spike
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S3_fields,audit_opinion,audit_opinion,CLEAR,CLEAR,0,0,True Negative,False,S3 – Field extraction,Audit opinion
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S3_fields,going_concern,going_concern,CLEAR,CLEAR,0,0,True Negative,False,S3 – Field extraction,Going concern
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S4_hybrid,revenue_concentration,revenue_concentration,ESCALATE,CLEAR,1,0,False Negative,True,S4 – Hybrid,Revenue concentration
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S4_hybrid,expense_spike,expense_spike,FLAG,CLEAR,1,0,False Negative,True,S4 – Hybrid,Expense spike
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S4_hybrid,audit_opinion,audit_opinion,CLEAR,CLEAR,0,0,True Negative,False,S4 – Hybrid,Audit opinion
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S4_hybrid,going_concern,going_concern,CLEAR,CLEAR,0,0,True Negative,False,S4 – Hybrid,Going concern
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S5_extended,revenue_concentration,revenue_concentration,ESCALATE,CLEAR,1,0,False Negative,True,S5 – Extended extraction,Revenue concentration
