experiment_doc_id,gold_document_id,strategy,dimension,experiment_dimension,gold_label,predicted_label,gold_binary,predicted_binary
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S1_full,revenue_concentration,revenue_concentration,ESCALATE,CLEAR,1,0
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S1_full,expense_spike,expense_spike,FLAG,FLAG,1,1
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S1_full,audit_opinion,audit_opinion,CLEAR,CLEAR,0,0
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S1_full,going_concern,going_concern,CLEAR,CLEAR,0,0
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S2_sections,revenue_concentration,revenue_concentration,ESCALATE,FLAG,1,1
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S2_sections,expense_spike,expense_spike,FLAG,FLAG,1,1
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S2_sections,audit_opinion,audit_opinion,CLEAR,CLEAR,0,0
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S2_sections,going_concern,going_concern,CLEAR,CLEAR,0,0
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S3_fields,revenue_concentration,revenue_concentration,ESCALATE,CLEAR,1,0
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S3_fields,expense_spike,expense_spike,FLAG,CLEAR,1,0
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S3_fields,audit_opinion,audit_opinion,CLEAR,CLEAR,0,0
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S3_fields,going_concern,going_concern,CLEAR,CLEAR,0,0
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S4_hybrid,revenue_concentration,revenue_concentration,ESCALATE,CLEAR,1,0
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S4_hybrid,expense_spike,expense_spike,FLAG,CLEAR,1,0
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S4_hybrid,audit_opinion,audit_opinion,CLEAR,CLEAR,0,0
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S4_hybrid,going_concern,going_concern,CLEAR,CLEAR,0,0
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S5_extended,revenue_concentration,revenue_concentration,ESCALATE,CLEAR,1,0
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S5_extended,expense_spike,expense_spike,FLAG,FLAG,1,1
BRAC-Uganda-Audited-Financial-Statements,BRAC_Uganda_AuditedFinancials_2023,S5_extended,audit_opinion,audit_opinion,CLEAR,FLAG,0,1
